home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A
9987,9993,1,1,1.73,3.4,5.0
10000,9994,0,0,1.95,3.2,3.6
9984,8635,0,3,2.38,3.3,2.75
9991,9998,5,0,1.44,3.75,7.5
7947,9985,1,3,5.0,3.5,1.65
8203,8342,1,1,4.75,3.4,1.67
9999,8571,2,2,2.1,3.2,3.3
4049,9996,1,2,3.2,3.4,2.2
10001,9986,1,0,2.25,3.25,2.88
8342,8571,4,1,1.3,5.25,9.5
9985,9986,1,2,1.3,5.25,9.5
10000,9991,0,2,2.6,3.2,2.5
9994,9998,0,0,1.91,3.4,4.0
7947,10001,2,2,2.9,3.3,2.38
8203,9999,1,2,1.7,3.3,4.5
9996,9984,0,1,2.35,3.3,3.0
4049,9987,1,3,6.0,3.75,1.57
9993,8635,1,3,4.0,3.25,1.83
8635,9994,2,3,1.36,4.75,8.5
9998,9996,0,0,2.4,3.3,2.9
9986,8342,2,2,3.2,3.3,2.25
9984,10000,2,0,1.75,3.75,4.33
9991,7947,1,1,1.4,4.33,8.0
9999,4049,1,2,1.83,3.5,4.2
8571,8203,0,0,2.0,3.5,3.6
10001,9987,1,0,2.7,3.25,2.6
9993,9985,1,3,3.6,3.3,2.05
8342,8635,1,1,2.3,3.25,2.9
9987,9999,1,1,1.25,5.25,10.0
10000,9993,2,2,2.0,3.25,3.5
