home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A
9994,9985,1,1,3.25,3.25,2.1
7947,8571,1,0,2.3,3.25,2.8
8203,9998,0,0,2.05,3.25,3.4
9996,9986,2,1,2.2,3.25,3.0
4049,9984,3,0,4.33,3.4,1.75
10001,9991,3,2,2.5,3.3,2.75
8635,10001,2,0,1.44,4.33,7.0
9985,9996,3,1,1.36,4.5,9.0
9998,8342,1,2,4.33,3.4,1.85
9986,4049,3,2,1.44,4.33,7.0
9984,8203,2,1,1.67,3.75,5.5
9991,9987,2,3,2.1,3.3,3.2
9999,7947,2,2,2.4,3.3,2.88
8571,10000,1,0,2.38,3.4,2.88
9993,9994,0,2,2.2,3.3,3.3
8342,9993,3,0,1.44,4.2,6.0
9987,9984,3,2,1.73,3.4,4.5
10000,9986,4,2,2.2,3.25,3.0
9991,9999,4,0,1.29,4.75,9.5
7947,8635,0,2,5.0,3.75,1.67
8203,9985,0,0,4.75,3.5,1.67
9996,9994,2,0,2.2,3.25,3.0
4049,8571,3,3,2.3,3.2,2.88
10001,9998,2,1,1.57,3.6,5.25
8635,4049,5,1,1.2,6.0,11.0
9985,10000,1,2,1.36,4.5,7.5
9998,7947,5,2,2.1,3.25,3.25
9986,8203,1,2,1.67,3.4,5.0
9984,9991,3,1,2.4,3.3,2.88
9994,8342,2,0,2.88,3.2,2.3
